,customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure_months,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,start_date,avg_montly_charge,monthly_rate_validation,contract_type.1,phone_service.1,internet_service.1,tenure_month_ages,Phone,Internet,Services
66,0112-QAWRZ,Male,No,Yes,Yes,2,2,0,Bank transfer (automatic),$90.80,"$1,442.20",No,15.88,False,False,True,True,True,3,2020-03-30,$90.80,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,16,False,False,Phone and Internet
69,0114-PEGZZ,Female,No,No,No,2,2,0,Electronic check,$107.55,"$3,645.50",No,33.9,True,False,True,True,True,0,2018-09-30,$107.55,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,34,False,False,Phone and Internet
70,0114-RSRRW,Female,No,Yes,No,1,0,0,Bank transfer (automatic),$19.95,$187.75,No,9.41,True,False,True,False,False,1,2020-10-13,$19.95,TRUE,Month-to-Month,One Line,No Internet Service,9,True,False,Phone
71,0115-TFERT,Male,No,Yes,No,2,2,0,Electronic check,$111.20,"$2,317.10",Yes,20.84,False,True,True,True,True,1,2019-11-01,$111.20,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,21,False,False,Phone and Internet
72,0117-LFRMW,Male,No,Yes,Yes,0,1,0,Bank transfer (automatic),$40.20,"$1,448.80",Yes,36.04,False,True,False,True,False,3,2018-07-26,$40.20,TRUE,Month-to-Month,No Phone Service,DSL,36,False,True,Internet
73,0118-JPNOY,Female,Yes,No,No,1,2,0,Credit card (automatic),$85.80,"$2,193.65",No,25.57,True,False,True,True,True,0,2019-06-10,$85.80,TRUE,Month-to-Month,One Line,Fiber Optic,26,False,False,Phone and Internet
75,0122-OAHPZ,Female,No,No,No,2,2,0,Electronic check,$73.85,$511.25,Yes,6.92,True,True,True,True,True,0,2020-12-28,$73.85,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,7,False,False,Phone and Internet
77,0125-LZQXK,Male,No,No,No,1,2,0,Electronic check,$101.35,"$1,553.95",Yes,15.33,False,True,True,True,True,0,2020-04-16,$101.35,TRUE,Month-to-Month,One Line,Fiber Optic,15,False,False,Phone and Internet
78,0128-MKWSG,Female,No,No,Yes,0,1,0,Mailed check,$45.80,"$1,147.00",No,25.04,True,False,False,True,False,2,2019-06-26,$45.80,TRUE,Month-to-Month,No Phone Service,DSL,25,False,True,Internet
79,0129-KPTWJ,Male,No,Yes,No,1,2,0,Electronic check,$94.65,"$6,747.35",No,71.29,False,False,True,True,True,1,2015-08-19,$94.65,TRUE,Month-to-Month,One Line,Fiber Optic,71,False,False,Phone and Internet
81,0130-SXOUN,Male,No,No,No,2,2,0,Credit card (automatic),$89.40,"$5,976.90",No,66.86,False,False,True,True,True,0,2016-01-01,$89.40,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,67,False,False,Phone and Internet
82,0133-BMFZO,Female,No,No,No,1,2,0,Electronic check,$86.25,$181.65,Yes,2.11,True,True,True,True,True,0,2021-05-23,$86.25,TRUE,Month-to-Month,One Line,Fiber Optic,2,False,False,Phone and Internet
84,0135-NMXAP,Female,No,No,No,2,2,0,Bank transfer (automatic),$89.75,"$1,052.40",Yes,11.73,True,True,True,True,True,0,2020-08-04,$89.75,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,12,False,False,Phone and Internet
86,0137-OCGAB,Female,No,No,No,2,2,0,Mailed check,$80.20,$80.20,Yes,1.0,True,True,True,True,True,0,2021-06-26,$80.20,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,1,False,False,Phone and Internet
87,0137-UDEUO,Female,No,No,No,1,0,0,Mailed check,$19.85,$63.75,Yes,3.21,True,True,True,False,False,0,2021-04-20,$19.85,TRUE,Month-to-Month,One Line,No Internet Service,3,True,False,Phone
88,0139-IVFJG,Female,No,Yes,No,1,2,0,Electronic check,$90.35,$190.50,No,2.11,True,False,True,True,True,1,2021-05-23,$90.35,TRUE,Month-to-Month,One Line,Fiber Optic,2,False,False,Phone and Internet
89,0141-YEAYS,Female,Yes,No,No,2,2,0,Bank transfer (automatic),$86.45,"$2,401.05",No,27.77,True,False,True,True,True,0,2019-04-04,$86.45,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,28,False,False,Phone and Internet
90,0142-GVYSN,Male,No,No,No,1,0,0,Electronic check,$20.30,$511.25,No,25.18,False,False,True,False,False,0,2019-06-21,$20.30,TRUE,Month-to-Month,One Line,No Internet Service,25,True,False,Phone
91,0147-ESWWR,Female,Yes,Yes,No,2,2,0,Electronic check,$101.25,"$3,949.15",No,39.0,True,False,True,True,True,1,2018-04-27,$101.25,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,39,False,False,Phone and Internet
92,0148-DCDOS,Male,No,No,No,2,2,0,Bank transfer (automatic),$94.70,"$2,362.10",Yes,24.94,False,True,True,True,True,0,2019-06-29,$94.70,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,25,False,False,Phone and Internet
93,0151-ONTOV,Female,No,No,No,1,2,0,Mailed check,$70.90,$70.90,Yes,1.0,True,True,True,True,True,0,2021-06-26,$70.90,TRUE,Month-to-Month,One Line,Fiber Optic,1,False,False,Phone and Internet
94,0156-FVPTA,Male,No,Yes,No,1,1,0,Electronic check,$54.20,"$1,152.70",Yes,21.27,False,True,True,True,True,1,2019-10-19,$54.20,TRUE,Month-to-Month,One Line,DSL,21,False,False,Phone and Internet
97,0168-XZKBB,Female,No,Yes,No,2,2,0,Electronic check,$86.85,"$1,564.40",No,18.01,True,False,True,True,True,1,2020-01-26,$86.85,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,18,False,False,Phone and Internet
99,0177-PXBAT,Male,Yes,Yes,No,2,2,0,Bank transfer (automatic),$109.90,"$3,694.70",No,33.62,False,False,True,True,True,1,2018-10-08,$109.90,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,34,False,False,Phone and Internet
100,0178-CIIKR,Female,No,No,No,1,0,0,Mailed check,$19.95,$58.00,No,2.91,True,False,True,False,False,0,2021-04-29,$19.95,TRUE,Month-to-Month,One Line,No Internet Service,3,True,False,Phone
101,0178-SZBHO,Male,No,Yes,Yes,2,2,0,Electronic check,$87.20,"$4,017.45",No,46.07,False,False,True,True,True,3,2017-09-24,$87.20,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,46,False,False,Phone and Internet
104,0187-QSXOE,Male,Yes,Yes,No,1,2,0,Electronic check,$89.00,$605.45,No,6.8,False,False,True,True,True,1,2021-01-01,$89.00,TRUE,Month-to-Month,One Line,Fiber Optic,7,False,False,Phone and Internet
105,0187-WZNAB,Female,No,Yes,Yes,1,2,0,Mailed check,$74.40,"$1,972.35",No,26.51,True,False,True,True,True,3,2019-05-12,$74.40,TRUE,Month-to-Month,One Line,Fiber Optic,27,False,False,Phone and Internet
106,0188-GWFLE,Male,No,No,No,1,0,0,Mailed check,$20.05,$33.70,No,1.68,False,False,True,False,False,0,2021-06-05,$20.05,TRUE,Month-to-Month,One Line,No Internet Service,2,True,False,Phone
108,0191-ZHSKZ,Male,Yes,No,No,1,1,0,Electronic check,$74.75,"$2,111.30",No,28.24,False,False,True,True,True,0,2019-03-20,$74.75,TRUE,Month-to-Month,One Line,DSL,28,False,False,Phone and Internet
110,0195-IESCP,Male,No,Yes,No,2,2,0,Electronic check,$85.25,$855.30,Yes,10.03,False,True,True,True,True,1,2020-09-24,$85.25,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,10,False,False,Phone and Internet
111,0196-JTUQI,Female,No,No,No,2,2,0,Credit card (automatic),$75.20,$633.85,No,8.43,True,False,True,True,True,0,2020-11-12,$75.20,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,8,False,False,Phone and Internet
112,0196-VULGZ,Female,Yes,Yes,No,2,2,0,Electronic check,$84.35,$474.90,Yes,5.63,True,True,True,True,True,1,2021-02-05,$84.35,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,6,False,False,Phone and Internet
119,0207-MDKNV,Female,No,No,No,1,2,0,Electronic check,$105.10,"$1,582.75",Yes,15.06,True,True,True,True,True,0,2020-04-24,$105.10,TRUE,Month-to-Month,One Line,Fiber Optic,15,False,False,Phone and Internet
120,0208-BPQEJ,Female,No,Yes,Yes,1,0,0,Bank transfer (automatic),$19.40,$198.10,No,10.21,True,False,True,False,False,3,2020-09-19,$19.40,TRUE,Month-to-Month,One Line,No Internet Service,10,True,False,Phone
121,0212-ISBBF,Female,No,No,No,0,1,0,Electronic check,$50.35,"$1,098.85",No,21.82,True,False,False,True,False,0,2019-10-02,$50.35,TRUE,Month-to-Month,No Phone Service,DSL,22,False,True,Internet
123,0215-BQKGS,Male,No,No,No,1,2,0,Credit card (automatic),$84.30,"$2,438.60",No,28.93,False,False,True,True,True,0,2019-02-28,$84.30,TRUE,Month-to-Month,One Line,Fiber Optic,29,False,False,Phone and Internet
126,0219-YTZUE,Male,No,Yes,Yes,2,2,0,Bank transfer (automatic),$84.80,$371.90,Yes,4.39,False,True,True,True,True,3,2021-03-15,$84.80,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,4,False,False,Phone and Internet
127,0220-EBGCE,Male,No,No,No,1,2,0,Electronic check,$85.85,$167.30,Yes,1.95,False,True,True,True,True,0,2021-05-28,$85.85,TRUE,Month-to-Month,One Line,Fiber Optic,2,False,False,Phone and Internet
129,0221-WMXNQ,Male,Yes,No,No,1,2,0,Electronic check,$75.35,$273.40,No,3.63,False,False,True,True,True,0,2021-04-07,$75.35,TRUE,Month-to-Month,One Line,Fiber Optic,4,False,False,Phone and Internet
130,0222-CNVPT,Male,Yes,No,No,0,1,0,Credit card (automatic),$48.80,"$2,555.05",No,52.36,False,False,False,True,False,0,2017-03-17,$48.80,TRUE,Month-to-Month,No Phone Service,DSL,52,False,True,Internet
131,0224-HJAPT,Male,No,No,No,2,1,0,Electronic check,$47.15,$223.15,Yes,4.73,False,True,True,True,True,0,2021-03-05,$47.15,TRUE,Month-to-Month,Two or More Lines,DSL,5,False,False,Phone and Internet
133,0224-RLWWD,Female,Yes,No,No,1,1,0,Electronic check,$44.30,$89.30,No,2.02,True,False,True,True,True,0,2021-05-26,$44.30,TRUE,Month-to-Month,One Line,DSL,2,False,False,Phone and Internet
134,0225-ZORZP,Male,No,No,No,1,2,0,Electronic check,$84.30,$235.05,No,2.79,False,False,True,True,True,0,2021-05-03,$84.30,TRUE,Month-to-Month,One Line,Fiber Optic,3,False,False,Phone and Internet
135,0228-MAUWC,Male,No,No,No,2,1,0,Electronic check,$59.55,"$1,144.60",No,19.22,False,False,True,True,True,0,2019-12-20,$59.55,TRUE,Month-to-Month,Two or More Lines,DSL,19,False,False,Phone and Internet
139,0231-LXVAP,Male,No,No,No,1,2,0,Electronic check,$75.90,$75.90,Yes,1.0,False,True,True,True,True,0,2021-06-26,$75.90,TRUE,Month-to-Month,One Line,Fiber Optic,1,False,False,Phone and Internet
142,0235-KGSLC,Female,No,No,No,1,2,0,Credit card (automatic),$85.55,$85.55,Yes,1.0,True,True,True,True,True,0,2021-06-26,$85.55,TRUE,Month-to-Month,One Line,Fiber Optic,1,False,False,Phone and Internet
143,0236-HFWSV,Male,No,No,No,2,2,0,Electronic check,$93.35,"$1,444.65",Yes,15.48,False,True,True,True,True,0,2020-04-12,$93.35,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,15,False,False,Phone and Internet
144,0237-YFUTL,Female,No,Yes,No,2,2,0,Bank transfer (automatic),$109.65,"$5,405.80",No,49.3,True,False,True,True,True,1,2017-06-18,$109.65,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,49,False,False,Phone and Internet
146,0239-OXEXL,Female,No,No,No,2,2,0,Mailed check,$84.25,"$3,847.60",No,45.67,True,False,True,True,True,0,2017-10-06,$84.25,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,46,False,False,Phone and Internet
148,0247-SLUJI,Male,No,Yes,Yes,1,0,0,Mailed check,$19.70,$19.70,No,1.0,False,False,True,False,False,3,2021-06-26,$19.70,TRUE,Month-to-Month,One Line,No Internet Service,1,True,False,Phone
149,0248-IPDFW,Female,No,No,No,2,1,0,Electronic check,$50.10,$50.10,No,1.0,True,False,True,True,True,0,2021-06-26,$50.10,TRUE,Month-to-Month,Two or More Lines,DSL,1,False,False,Phone and Internet
155,0256-LTHVJ,Female,No,Yes,Yes,1,2,0,Electronic check,$81.05,"$2,227.10",Yes,27.48,True,True,True,True,True,3,2019-04-13,$81.05,TRUE,Month-to-Month,One Line,Fiber Optic,27,False,False,Phone and Internet
156,0257-KXZGU,Female,No,Yes,Yes,2,1,0,Bank transfer (automatic),$62.45,"$2,045.55",No,32.76,True,False,True,True,True,3,2018-11-03,$62.45,TRUE,Month-to-Month,Two or More Lines,DSL,33,False,False,Phone and Internet
157,0257-ZESQC,Female,Yes,Yes,No,1,2,0,Bank transfer (automatic),$75.20,"$1,929.35",Yes,25.66,True,True,True,True,True,1,2019-06-07,$75.20,TRUE,Month-to-Month,One Line,Fiber Optic,26,False,False,Phone and Internet
158,0258-NOKBL,Male,No,No,No,1,2,0,Electronic check,$90.40,$268.45,No,2.97,False,False,True,True,True,0,2021-04-27,$90.40,TRUE,Month-to-Month,One Line,Fiber Optic,3,False,False,Phone and Internet
159,0259-GBZSH,Male,No,No,No,2,2,0,Electronic check,$85.65,$181.50,Yes,2.12,False,True,True,True,True,0,2021-05-23,$85.65,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,2,False,False,Phone and Internet
160,0260-ZDLGK,Female,No,No,Yes,1,1,0,Mailed check,$72.90,$651.40,Yes,8.94,True,True,True,True,True,2,2020-10-28,$72.90,TRUE,Month-to-Month,One Line,DSL,9,False,False,Phone and Internet
163,0265-EDXBD,Male,Yes,Yes,No,2,2,0,Electronic check,$74.90,"$2,303.35",Yes,30.75,False,True,True,True,True,1,2019-01-03,$74.90,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,31,False,False,Phone and Internet
164,0265-PSUAE,Female,No,Yes,Yes,1,2,0,Bank transfer (automatic),$100.70,"$1,522.70",No,15.12,True,False,True,True,True,3,2020-04-23,$100.70,TRUE,Month-to-Month,One Line,Fiber Optic,15,False,False,Phone and Internet
167,0268-QKIWO,Female,No,No,No,1,0,0,Electronic check,$19.75,$58.85,Yes,2.98,True,True,True,False,False,0,2021-04-27,$19.75,TRUE,Month-to-Month,One Line,No Internet Service,3,True,False,Phone
170,0274-JKUJR,Male,No,Yes,Yes,0,1,0,Mailed check,$58.85,$465.70,No,7.91,False,False,False,True,False,3,2020-11-28,$58.85,TRUE,Month-to-Month,No Phone Service,DSL,8,False,True,Internet
171,0277-BKSQP,Male,No,Yes,Yes,1,1,0,Electronic check,$54.40,$475.10,No,8.73,False,False,True,True,True,3,2020-11-03,$54.40,TRUE,Month-to-Month,One Line,DSL,9,False,False,Phone and Internet
173,0278-YXOOG,Male,No,No,No,1,0,0,Mailed check,$21.05,$113.85,Yes,5.41,False,True,True,False,False,0,2021-02-12,$21.05,TRUE,Month-to-Month,One Line,No Internet Service,5,True,False,Phone
174,0280-XJGEX,Male,No,No,No,2,2,0,Bank transfer (automatic),$103.70,"$5,036.30",Yes,48.57,False,True,True,True,True,0,2017-07-10,$103.70,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,49,False,False,Phone and Internet
176,0282-NVSJS,Female,Yes,Yes,Yes,0,1,0,Mailed check,$29.30,$355.90,No,12.15,True,False,False,True,False,3,2020-07-22,$29.30,TRUE,Month-to-Month,No Phone Service,DSL,12,False,True,Internet
177,0285-INHLN,Male,No,Yes,Yes,1,1,0,Credit card (automatic),$54.75,"$1,510.30",No,27.59,False,False,True,True,True,3,2019-04-09,$54.75,TRUE,Month-to-Month,One Line,DSL,28,False,False,Phone and Internet
178,0289-IVARM,Female,No,No,No,1,1,0,Electronic check,$60.55,"$1,982.60",No,32.74,True,False,True,True,True,0,2018-11-04,$60.55,TRUE,Month-to-Month,One Line,DSL,33,False,False,Phone and Internet
179,0292-WEGCH,Female,No,Yes,Yes,2,1,0,Electronic check,$86.20,"$4,524.05",No,52.48,True,False,True,True,True,3,2017-03-13,$86.20,TRUE,Month-to-Month,Two or More Lines,DSL,52,False,False,Phone and Internet
180,0295-PPHDO,Male,No,No,No,2,2,0,Electronic check,$95.45,$95.45,Yes,1.0,False,True,True,True,True,0,2021-06-26,$95.45,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,1,False,False,Phone and Internet
181,0295-QVKPB,Male,No,No,No,1,1,0,Credit card (automatic),$63.95,$318.10,No,4.97,False,False,True,True,True,0,2021-02-25,$63.95,TRUE,Month-to-Month,One Line,DSL,5,False,False,Phone and Internet
186,0302-JOIVN,Female,No,Yes,No,1,2,0,Electronic check,$101.15,$842.90,Yes,8.33,True,True,True,True,True,1,2020-11-15,$101.15,TRUE,Month-to-Month,One Line,Fiber Optic,8,False,False,Phone and Internet
188,0303-WMMRN,Male,No,No,No,1,0,0,Mailed check,$19.25,$86.05,No,4.47,False,False,True,False,False,0,2021-03-13,$19.25,TRUE,Month-to-Month,One Line,No Internet Service,4,True,False,Phone
190,0306-JAELE,Male,No,No,No,1,2,0,Electronic check,$96.10,$453.40,Yes,4.72,False,True,True,True,True,0,2021-03-05,$96.10,TRUE,Month-to-Month,One Line,Fiber Optic,5,False,False,Phone and Internet
194,0310-MVLET,Female,No,Yes,Yes,2,2,0,Electronic check,$99.15,"$6,010.05",Yes,60.62,True,True,True,True,True,3,2016-07-09,$99.15,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,61,False,False,Phone and Internet
196,0310-VQXAM,Male,No,No,No,1,0,0,Mailed check,$19.85,$178.80,No,9.01,False,False,True,False,False,0,2020-10-26,$19.85,TRUE,Month-to-Month,One Line,No Internet Service,9,True,False,Phone
197,0311-QYWSS,Female,No,No,No,1,1,0,Electronic check,$49.45,$314.60,No,6.36,True,False,True,True,True,0,2021-01-14,$49.45,TRUE,Month-to-Month,One Line,DSL,6,False,False,Phone and Internet
198,0311-UNPFF,Female,No,No,No,1,2,0,Bank transfer (automatic),$88.80,"$2,274.35",Yes,25.61,True,True,True,True,True,0,2019-06-08,$88.80,TRUE,Month-to-Month,One Line,Fiber Optic,26,False,False,Phone and Internet
199,0314-TKOSI,Female,No,No,No,1,1,0,Mailed check,$55.15,$322.90,No,5.85,True,False,True,True,True,0,2021-01-29,$55.15,TRUE,Month-to-Month,One Line,DSL,6,False,False,Phone and Internet
200,0315-LVCRK,Male,No,No,No,1,2,0,Electronic check,$84.80,$888.75,No,10.48,False,False,True,True,True,0,2020-09-11,$84.80,TRUE,Month-to-Month,One Line,Fiber Optic,10,False,False,Phone and Internet
201,0318-QUUOB,Male,No,Yes,No,1,2,0,Electronic check,$80.55,$80.55,Yes,1.0,False,True,True,True,True,1,2021-06-26,$80.55,TRUE,Month-to-Month,One Line,Fiber Optic,1,False,False,Phone and Internet
203,0319-QZTCO,Female,No,Yes,Yes,1,1,0,Credit card (automatic),$58.70,$168.60,No,2.87,True,False,True,True,True,3,2021-04-30,$58.70,TRUE,Month-to-Month,One Line,DSL,3,False,False,Phone and Internet
205,0320-JDNQG,Male,No,Yes,Yes,1,2,0,Electronic check,$99.85,"$2,331.30",Yes,23.35,False,True,True,True,True,3,2019-08-16,$99.85,TRUE,Month-to-Month,One Line,Fiber Optic,23,False,False,Phone and Internet
206,0322-CHQRU,Male,No,No,No,1,1,0,Electronic check,$45.35,$89.50,Yes,1.97,False,True,True,True,True,0,2021-05-27,$45.35,TRUE,Month-to-Month,One Line,DSL,2,False,False,Phone and Internet
207,0322-YINQP,Male,No,No,No,1,1,0,Mailed check,$48.55,$48.55,Yes,1.0,False,True,True,True,True,0,2021-06-26,$48.55,TRUE,Month-to-Month,One Line,DSL,1,False,False,Phone and Internet
209,0324-BRPCJ,Female,Yes,Yes,No,2,2,0,Electronic check,$100.20,"$6,851.65",Yes,68.38,True,True,True,True,True,1,2015-11-16,$100.20,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,68,False,False,Phone and Internet
